timestamp,ticker,series_ticker,series_id,time_idx,side,pred_long,pred_short,pred_edge,realized_pnl,spread,staleness_sec,has_obs
2026-02-06 16:25:30,KXNCAAMBSPREAD-26FEB06DAYVCU-VCU7,unknown,KXNCAAMBSPREAD-26FEB06DAYVCU-VCU7:0,0,SHORT,-14.343214634771716,10.574428655433936,10.574428655433936,48.0,1.0,0.0,1
2026-02-06 16:38:30,KXETHMINMON-ETH-26FEB28-175000,unknown,KXETHMINMON-ETH-26FEB28-175000:0,0,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,47.0,3.0,0.0,1
2026-02-06 17:40:00,KXATPCHALLENGERMATCH-26FEB06GENBRO-BRO,unknown,KXATPCHALLENGERMATCH-26FEB06GENBRO-BRO:0,20,SHORT,-14.343214634771716,10.574428655433936,10.574428655433936,46.0,4.0,0.0,1
2026-02-06 17:51:30,KXSBGUESTS-26-SSWE,unknown,KXSBGUESTS-26-SSWE:0,0,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-2.0,2.0,0.0,1
2026-02-06 18:06:00,KXCS2GAME-26FEB07TSFURIA-FURIA,unknown,KXCS2GAME-26FEB07TSFURIA-FURIA:0,0,SHORT,-11.288285388688756,4.681557859101766,4.681557859101766,-5.0,5.0,0.0,1
2026-02-06 18:32:30,KXSERIEAGAME-26FEB07GENNAP-NAP,unknown,KXSERIEAGAME-26FEB07GENNAP-NAP:0,220,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-1.0,1.0,0.0,1
2026-02-06 18:53:30,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21,unknown,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21:0,0,SHORT,-10.498905478591407,4.681557859101766,4.681557859101766,-3.0,3.0,0.0,1
2026-02-06 19:16:00,KXSERIEAGAME-26FEB07GENNAP-NAP,unknown,KXSERIEAGAME-26FEB07GENNAP-NAP:0,307,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-1.0,1.0,0.0,1
2026-02-06 19:37:00,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21,unknown,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21:0,87,SHORT,-9.82572936517897,3.664436788895813,3.664436788895813,-3.0,3.0,0.0,1
2026-02-06 19:53:30,KXVALORANTGAME-26FEB06EGNV-NV,unknown,KXVALORANTGAME-26FEB06EGNV-NV:0,0,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-3.0,3.0,0.0,1
2026-02-06 20:22:00,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21,unknown,KXNCAAMBSPREAD-26FEB07OKSTARIZ-ARIZ21:0,177,SHORT,-11.325440663761741,5.110563755579162,5.110563755579162,44.0,3.0,0.0,1
2026-02-06 21:10:30,KXATPCHALLENGERMATCH-26FEB06DOSSMI-DOS,unknown,KXATPCHALLENGERMATCH-26FEB06DOSSMI-DOS:0,90,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-5.0,5.0,0.0,1
2026-02-06 21:30:00,KXNBASPREAD-26FEB06NOPMIN-MIN8,unknown,KXNBASPREAD-26FEB06NOPMIN-MIN8:0,123,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,0.0,0.0,0.0,1
2026-02-06 21:50:00,KXNBASPREAD-26FEB06NOPMIN-MIN8,unknown,KXNBASPREAD-26FEB06NOPMIN-MIN8:0,163,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,0.0,0.0,0.0,1
2026-02-06 22:34:30,KXBTCD-26FEB0717-T70999.99,unknown,KXBTCD-26FEB0717-T70999.99:0,0,SHORT,-9.246523171758907,6.149627427456969,6.149627427456969,-1.0,1.0,0.0,1
2026-02-06 23:19:30,KXCS2TOTALMAPS-26FEB07TSFURIA-3,unknown,KXCS2TOTALMAPS-26FEB07TSFURIA-3:0,0,SHORT,-8.989816363946414,5.633674656256141,5.633674656256141,0.0,0.0,0.0,1
