timestamp,ticker,group_key,series_id,time_idx,side,pred_long,pred_short,pred_edge,realized_pnl,realized_pnl_gross,realized_pnl_net,spread,staleness_sec,has_obs
2026-02-08 00:15:00,KXATPMATCH-26FEB08GASOCO-OCO,KXATPMATCH-26FEB08GASOCO-OCO,KXATPMATCH-26FEB08GASOCO-OCO:0,0,SHORT,-10.31593403833073,14.339110687330361,14.339110687330361,-4.0,-2.0,-4.0,2.0,0.0,1
2026-02-08 00:25:00,KXBTCD-26FEB1317-T69499.99,KXBTCD-26FEB1317-T69499.99,KXBTCD-26FEB1317-T69499.99:0,118,SHORT,-4.348073762831382,1.7396656433136393,1.7396656433136393,-3.0,-1.0,-3.0,1.0,0.0,1
2026-02-08 00:28:30,KXNCAAMBGAME-26FEB07HOUBYU-BYU,KXNCAAMBGAME-26FEB07HOUBYU-BYU,KXNCAAMBGAME-26FEB07HOUBYU-BYU:0,117,SHORT,-9.098877857542162,4.824794689081471,4.824794689081471,-5.0,-3.0,-5.0,3.0,0.0,1
2026-02-08 00:40:30,KXBUNDESLIGAGAME-26FEB08KOERBL-RBL,KXBUNDESLIGAGAME-26FEB08KOERBL-RBL,KXBUNDESLIGAGAME-26FEB08KOERBL-RBL:0,116,SHORT,-15.685084922874147,9.235763395384492,9.235763395384492,45.0,47.0,45.0,3.0,0.0,1
2026-02-08 01:42:30,KXNBAAST-26FEB07CLESAC-CLEJHARDEN1-8,KXNBAAST-26FEB07CLESAC-CLEJHARDEN1,KXNBAAST-26FEB07CLESAC-CLEJHARDEN1-8:0,0,SHORT,-16.199695419968325,7.280312931944765,7.280312931944765,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 03:26:30,KXNBATOTAL-26FEB08MIAWAS-236,KXNBATOTAL-26FEB08MIAWAS-236,KXNBATOTAL-26FEB08MIAWAS-236:0,0,SHORT,-43.48847690433824,23.230145325268232,23.230145325268232,45.0,47.0,45.0,3.0,0.0,1
2026-02-08 04:23:30,KXNCAAMBTOTAL-26FEB08NWIOWA-140,KXNCAAMBTOTAL-26FEB08NWIOWA-140,KXNCAAMBTOTAL-26FEB08NWIOWA-140:0,0,SHORT,-3.236594002591097,3.859312385534359,3.859312385534359,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 05:19:30,KXNCAAMBSPREAD-26FEB08MICHOSU-MICH12,KXNCAAMBSPREAD-26FEB08MICHOSU-MICH12,KXNCAAMBSPREAD-26FEB08MICHOSU-MICH12:0,1,SHORT,-0.31531145183095965,1.8878598829065962,1.8878598829065962,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 05:30:30,KXETHD-26FEB1317-T2099.99,KXETHD-26FEB1317-T2099.99,KXETHD-26FEB1317-T2099.99:0,0,SHORT,-1.9812357602881463,4.91889729824957,4.91889729824957,-3.0,-1.0,-3.0,1.0,0.0,1
2026-02-08 05:37:00,KXLIGAMXGAME-26FEB07AMEMON-MON,KXLIGAMXGAME-26FEB07AMEMON-MON,KXLIGAMXGAME-26FEB07AMEMON-MON:0,937,SHORT,-0.5133034559948911,1.9466833531162613,1.9466833531162613,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 05:47:30,KXSPACEXCOUNT-26FEB-13,KXSPACEXCOUNT-26FEB-13,KXSPACEXCOUNT-26FEB-13:1,1688,SHORT,-0.6668756794923595,2.3901564245894984,2.3901564245894984,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 06:17:00,KXNCAAMBTOTAL-26FEB08NWIOWA-140,KXNCAAMBTOTAL-26FEB08NWIOWA-140,KXNCAAMBTOTAL-26FEB08NWIOWA-140:0,227,SHORT,-2.0138829133119462,8.778868245138966,8.778868245138966,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 06:22:30,KXVALORANTGAME-26FEB08DRXFS-DRX,KXVALORANTGAME-26FEB08DRXFS-DRX,KXVALORANTGAME-26FEB08DRXFS-DRX:0,117,SHORT,-3.189775344348091,1.76643572938764,1.76643572938764,-3.0,-1.0,-3.0,1.0,0.0,1
2026-02-08 08:09:30,KXNBAREB-26FEB08LACMIN-MINRGOBERT27-12,KXNBAREB-26FEB08LACMIN-MINRGOBERT27,KXNBAREB-26FEB08LACMIN-MINRGOBERT27-12:0,0,SHORT,-4.107119047593919,4.626387485187571,4.626387485187571,-2.0,0.0,-2.0,0.0,0.0,1
2026-02-08 10:10:00,KXATPMATCH-26FEB08GASOCO-OCO,KXATPMATCH-26FEB08GASOCO-OCO,KXATPMATCH-26FEB08GASOCO-OCO:1,229,SHORT,-36.37770257743831,29.49714302711094,29.49714302711094,44.0,46.0,44.0,4.0,0.0,1
2026-02-08 10:22:00,KXEREDIVISIEGAME-26FEB08FCUFEY-FEY,KXEREDIVISIEGAME-26FEB08FCUFEY-FEY,KXEREDIVISIEGAME-26FEB08FCUFEY-FEY:0,229,SHORT,-10.047602606989777,3.925140709678299,3.925140709678299,44.0,46.0,44.0,5.0,0.0,1
2026-02-08 13:46:30,KXATPCHALLENGERMATCH-26FEB08UGOBUR-UGO,KXATPCHALLENGERMATCH-26FEB08UGOBUR-UGO,KXATPCHALLENGERMATCH-26FEB08UGOBUR-UGO:0,0,SHORT,-38.09047006599219,21.907905361420116,21.907905361420116,45.0,47.0,45.0,1.0,0.0,1
2026-02-08 17:07:00,KXNCAAMBTOTAL-26FEB08MICHOSU-162,KXNCAAMBTOTAL-26FEB08MICHOSU-162,KXNCAAMBTOTAL-26FEB08MICHOSU-162:0,254,SHORT,-36.11351501147746,13.25536405953026,13.25536405953026,-7.0,-5.0,-7.0,5.0,0.0,1
2026-02-08 18:20:00,KXATPCHALLENGERMATCH-26FEB08UGOBUR-BUR,KXATPCHALLENGERMATCH-26FEB08UGOBUR-BUR,KXATPCHALLENGERMATCH-26FEB08UGOBUR-BUR:0,0,SHORT,-23.46753900086224,24.665926606255127,24.665926606255127,45.0,47.0,45.0,3.0,0.0,1
2026-02-08 19:36:00,KXHIGHTATL-26FEB09-B63.5,KXHIGHTATL-26FEB09-B63.5,KXHIGHTATL-26FEB09-B63.5:0,7,SHORT,-0.3764474080973086,1.780198768397779,1.780198768397779,-2.0,0.0,-2.0,0.0,0.0,1
